season,week,game_date,opponent_team,player_name,targets,receptions,receiving_yards,yards_per_reception,receiving_tds
1998,1,1998-09-06,TAM,Randy Moss,4,4,95,23.8,2
1998,2,1998-09-13,STL,Randy Moss,6,6,89,14.8,0
1998,3,1998-09-20,DET,Randy Moss,5,5,37,7.4,1
1998,4,1998-09-27,CHI,Randy Moss,4,2,52,26.0,1
1998,5,1998-10-05,GNB,Randy Moss,6,5,190,38.0,2
1998,6,1998-10-18,WAS,Randy Moss,10,5,64,12.8,0
1998,7,1998-10-25,DET,Randy Moss,5,2,14,7.0,0
1998,8,1998-11-01,TAM,Randy Moss,2,2,52,26.0,0
1998,9,1998-11-08,NOR,Randy Moss,1,1,6,6.0,0
1998,10,1998-11-15,CIN,Randy Moss,6,4,99,24.8,1
1998,11,1998-11-22,GNB,Randy Moss,11,8,153,19.1,1
1998,12,1998-11-26,DAL,Randy Moss,8,3,163,54.3,3
1998,13,1998-12-06,CHI,Randy Moss,10,8,106,13.3,3
1998,14,1998-12-13,BAL,Randy Moss,19,6,89,14.8,1
1998,15,1998-12-20,JAX,Randy Moss,8,3,72,24.0,1
1998,16,1998-12-26,TEN,Randy Moss,11,5,32,6.4,1
